Region,Instance Type,API Name,Memory (MB),Disk (GB),Compute Units,Virtual Cores,Disk Type,OD Linux PPH,OD Windows PPH,OD RHEL PPH,OD SLES PPH,OD MsWinSQL PPH,OD MsWinSQLWeb PPH,year1 light linux Prepay,year1 light linux PPH,year1 light mswin Prepay,year1 light mswin PPH,year1 light rhel Prepay,year1 light rhel PPH,year1 light sles Prepay,year1 light sles PPH,year1 light mswinSQL Prepay,year1 light mswinSQL PPH,year1 light mswinSQLWeb Prepay,year1 light mswinSQLWeb PPH,year1 medium linux Prepay,year1 medium linux PPH,year1 medium mswin Prepay,year1 medium mswin PPH,year1 medium rhel Prepay,year1 medium rhel PPH,year1 medium sles Prepay,year1 medium sles PPH,year1 medium mswinSQL Prepay,year1 medium mswinSQL PPH,year1 medium mswinSQLWeb Prepay,year1 medium mswinSQLWeb PPH,year1 heavy linux Prepay,year1 heavy linux PPH,year1 heavy mswin Prepay,year1 heavy mswin PPH,year1 heavy rhel Prepay,year1 heavy rhel PPH,year1 heavy sles Prepay,year1 heavy sles PPH,year1 heavy mswinSQL Prepay,year1 heavy mswinSQL PPH,year1 heavy mswinSQLWeb Prepay,year1 heavy mswinSQLWeb PPH,year3 light linux Prepay,year3 light linux PPH,year3 light mswin Prepay,year3 light mswin PPH,year3 light rhel Prepay,year3 light rhel PPH,year3 light sles Prepay,year3 light sles PPH,year3 light mswinSQL Prepay,year3 light mswinSQL PPH,year3 light mswinSQLWeb Prepay,year3 light mswinSQLWeb PPH,year3 medium linux Prepay,year3 medium linux PPH,year3 medium mswin Prepay,year3 medium mswin PPH,year3 medium rhel Prepay,year3 medium rhel PPH,year3 medium sles Prepay,year3 medium sles PPH,year3 medium mswinSQL Prepay,year3 medium mswinSQL PPH,year3 medium mswinSQLWeb Prepay,year3 medium mswinSQLWeb PPH,year3 heavy linux Prepay,year3 heavy linux PPH,year3 heavy mswin Prepay,year3 heavy mswin PPH,year3 heavy rhel Prepay,year3 heavy rhel PPH,year3 heavy sles Prepay,year3 heavy sles PPH,year3 heavy mswinSQL Prepay,year3 heavy mswinSQL PPH,year3 heavy mswinSQLWeb Prepay,year3 heavy mswinSQLWeb PPH
us-east,M3 Medium Instance,m3.medium,3750.0,4,3,1,ssd,0.113,0.176,0.173,0.213,0.356,0.23,110.0,0.064,129.0,0.107,110.0,0.124,310.0,0.164,393.0,0.179,229.0,0.104,259.0,0.039,299.0,0.079,259.0,0.099,451.0,0.139,566.0,0.151,266.0,0.091,317.0,0.026,365.0,0.064,317.0,0.086,493.0,0.126,668.0,0.114,385.0,0.066,172.0,0.05,199.0,0.092,172.0,0.11,572.0,0.15,1061.0,0.161,570.0,0.086,408.0,0.031,468.0,0.07,408.0,0.091,792.0,0.131,1245.0,0.142,631.0,0.072,481.0,0.022,561.0,0.059,481.0,0.082,833.0,0.122,1731.0,0.099,882.0,0.05
us-east,M3 Large Instance,m3.large,7500.0,32,6,2,ssd,0.225,0.351,0.285,0.325,0.711,0.459,220.0,0.127,258.0,0.214,220.0,0.187,420.0,0.227,786.0,0.358,458.0,0.209,517.0,0.078,599.0,0.158,517.0,0.138,709.0,0.178,1132.0,0.301,533.0,0.183,633.0,0.053,730.0,0.128,633.0,0.113,809.0,0.153,1337.0,0.229,771.0,0.132,343.0,0.101,398.0,0.184,343.0,0.161,743.0,0.201,2122.0,0.322,1140.0,0.173,816.0,0.062,935.0,0.139,816.0,0.122,1200.0,0.162,2491.0,0.284,1263.0,0.144,961.0,0.043,1122.0,0.117,961.0,0.103,1313.0,0.143,3463.0,0.198,1765.0,0.101
us-east,M3 Extra Large Instance,m3.xlarge,15000.0,80,13,4,ssd,0.45,0.702,0.51,0.55,1.422,0.918,439.0,0.254,516.0,0.428,439.0,0.314,639.0,0.354,1571.0,0.716,915.0,0.417,1034.0,0.156,1197.0,0.315,1034.0,0.216,1226.0,0.256,2264.0,0.602,1065.0,0.365,1266.0,0.105,1459.0,0.256,1266.0,0.165,1442.0,0.205,2673.0,0.457,1541.0,0.264,686.0,0.201,795.0,0.367,686.0,0.261,1086.0,0.301,4244.0,0.644,2279.0,0.345,1631.0,0.123,1870.0,0.278,1631.0,0.183,2015.0,0.223,4981.0,0.568,2525.0,0.287,1922.0,0.086,2244.0,0.234,1922.0,0.146,2274.0,0.186,6925.0,0.395,3529.0,0.201
us-east,M3 Double Extra Large Instance,m3.2xlarge,30000.0,160,26,8,ssd,0.9,1.404,1.03,1.0,2.844,1.836,879.0,0.508,1032.0,0.857,879.0,0.568,1079.0,0.608,3135.0,1.432,1824.0,0.834,2069.0,0.313,2394.0,0.631,2069.0,0.373,2261.0,0.413,4519.0,1.204,2129.0,0.729,2531.0,0.209,2917.0,0.512,2531.0,0.269,2707.0,0.309,5347.0,0.915,3083.0,0.527,1372.0,0.401,1590.0,0.734,1372.0,0.461,1772.0,0.501,8466.0,1.289,4535.0,0.691,3262.0,0.247,3740.0,0.556,3262.0,0.307,3646.0,0.347,9941.0,1.136,5026.0,0.575,3844.0,0.172,4488.0,0.468,3844.0,0.232,4196.0,0.272,13850.0,0.791,7058.0,0.403
us-east,Standard Small,m1.small,1700.0,160,1,1,ephemeral,0.06,0.091,0.12,0.09,0.629,0.155,61.0,0.034,69.0,0.059,61.0,0.094,149.0,0.048,1020.0,0.464,190.0,0.09,139.0,0.021,160.0,0.044,139.0,0.081,227.0,0.034,1260.0,0.432,220.0,0.077,169.0,0.014,195.0,0.036,169.0,0.074,257.0,0.026,1420.0,0.242,280.0,0.048,96.0,0.027,106.3,0.051,96.0,0.087,296.0,0.04,2990.0,0.455,500.0,0.08,215.0,0.017,250.0,0.039,215.0,0.077,407.0,0.03,3690.0,0.422,580.0,0.067,257.0,0.012,300.0,0.033,257.0,0.072,433.0,0.023,4100.0,0.234,690.0,0.04
us-east,Standard Medium,m1.medium,3750.0,410,2,1,ephemeral,0.12,0.182,0.17,0.2,0.744,0.27,122.0,0.068,138.0,0.118,122.0,0.128,322.0,0.082,1130.0,0.518,300.0,0.14,277.0,0.042,320.0,0.088,277.0,0.102,469.0,0.055,1400.0,0.478,360.0,0.124,338.0,0.028,390.0,0.073,338.0,0.088,514.0,0.04,1620.0,0.279,490.0,0.083,192.0,0.054,212.5,0.103,192.0,0.114,592.0,0.069,3280.0,0.5,790.0,0.12,430.0,0.033,500.0,0.078,430.0,0.093,814.0,0.047,4010.0,0.458,900.0,0.103,514.0,0.023,600.0,0.066,514.0,0.083,866.0,0.035,4570.0,0.261,1160.0,0.066
us-east,Standard Large,m1.large,7500.0,850,4,2,ephemeral,0.24,0.364,0.3,0.34,0.974,0.5,243.0,0.136,276.0,0.235,243.0,0.196,443.0,0.15,1370.0,0.624,540.0,0.24,554.0,0.084,640.0,0.175,554.0,0.144,746.0,0.097,1670.0,0.571,630.0,0.216,676.0,0.056,780.0,0.145,676.0,0.116,852.0,0.068,2030.0,0.348,900.0,0.153,384.0,0.108,425.2,0.204,384.0,0.168,784.0,0.121,3860.0,0.587,1370.0,0.21,860.0,0.067,1000.0,0.156,860.0,0.127,1244.0,0.079,4650.0,0.531,1540.0,0.176,1028.0,0.046,1200.0,0.132,1028.0,0.106,1380.0,0.058,5510.0,0.314,2090.0,0.12
us-east,Standard Extra Large,m1.xlarge,15000.0,1690,8,4,ephemeral,0.48,0.728,0.54,0.58,1.434,0.96,486.0,0.271,552.0,0.47,486.0,0.331,686.0,0.285,2060.0,0.77,1000.0,0.46,1108.0,0.168,1280.0,0.35,1108.0,0.228,1300.0,0.181,2780.0,0.65,1170.0,0.403,1352.0,0.112,1560.0,0.29,1352.0,0.172,1528.0,0.124,2850.0,0.489,1720.0,0.293,768.0,0.215,850.4,0.408,768.0,0.275,1168.0,0.229,4860.0,0.71,2530.0,0.38,1720.0,0.133,2000.0,0.312,1720.0,0.193,2104.0,0.146,6000.0,0.61,2810.0,0.321,2056.0,0.092,2400.0,0.264,2056.0,0.152,2408.0,0.104,7370.0,0.421,3960.0,0.226
us-east,High-Compute Large,c3.large,3750.0,32,7,2,ssd,0.15,0.233,0.21,0.25,0.561,0.316,167.0,0.093,184.0,0.171,167.0,0.153,367.0,0.218,960.0,0.342,373.0,0.171,383.0,0.056,430.0,0.129,383.0,0.116,575.0,0.176,1206.0,0.3,437.0,0.149,466.0,0.037,518.0,0.109,466.0,0.097,642.0,0.147,1216.0,0.208,626.0,0.107,252.0,0.082,283.0,0.158,252.0,0.142,652.0,0.207,2352.0,0.329,999.0,0.153,591.0,0.049,660.0,0.122,591.0,0.109,975.0,0.169,2730.0,0.292,1105.0,0.126,726.0,0.032,802.0,0.104,726.0,0.092,1078.0,0.142,3291.0,0.188,1527.0,0.087
us-east,High-Compute Extra Large,c3.xlarge,7500.0,80,14,4,ssd,0.3,0.466,0.36,0.4,1.122,0.632,333.0,0.186,368.0,0.342,333.0,0.246,533.0,0.311,1920.0,0.683,745.0,0.342,766.0,0.112,859.0,0.259,766.0,0.172,958.0,0.232,2412.0,0.6,875.0,0.299,932.0,0.075,1035.0,0.217,932.0,0.135,1108.0,0.185,2432.0,0.416,1252.0,0.215,503.0,0.164,565.0,0.317,503.0,0.224,903.0,0.289,4704.0,0.657,1998.0,0.305,1182.0,0.097,1321.0,0.244,1182.0,0.157,1566.0,0.217,5460.0,0.585,2210.0,0.252,1451.0,0.064,1604.0,0.207,1451.0,0.124,1803.0,0.174,6583.0,0.376,3053.0,0.174
